Hour,夏/冬极端高峰日,工作日重载日,春秋平稳日,周末/节假日轻载日
0,13.990397579398723,12.94673952028162,11.541550174216033,9.791084282534351
1,14.148654116979792,13.069183795363529,11.65793403177514,9.920606763814286
2,14.346730654184475,13.242478912650427,11.853490238352663,10.06563843251136
3,14.47174060000177,13.498260746989557,11.963107594234097,10.166410235220928
4,14.68425975436906,13.620926641777622,12.173640014461103,10.322946616083414
5,15.249420727182228,14.050296338038315,12.631569048667194,10.765621734407471
6,16.52405606922759,15.37520053681417,13.691658100937767,11.627721902540456
7,19.77702105325022,17.97714713728833,16.274091532493358,13.842613042481652
8,26.403289218303154,24.25824609200601,21.709293305701877,18.36782846015968
9,31.260733217187706,28.923570843219885,25.682689909403777,21.897789655842114
10,31.19419217787473,28.69714065879886,25.54885688085088,21.778342225788517
11,30.094982903998787,27.998931344354414,24.83859943589875,21.177409753693283
12,29.718671574529292,27.43759242129931,24.509907869004774,20.819149339510222
13,29.461744081718518,27.25311677222138,24.336674227979994,20.631301329641484
14,29.557889502925438,27.393623961175813,24.530337968905258,20.81920748455701
15,30.332337073405167,27.928016359648353,24.894859838337705,21.18465955712258
16,31.34848865986645,28.952717065202233,25.75097505613833,21.846471156365276
17,31.982465925374115,29.018561772521615,26.11539458797026,22.227559914453014
18,28.05993964602553,26.048022521896446,23.20629856018492,19.66938587701215
19,24.274281122377676,22.34484588602848,19.97911417292792,16.909451240795804
20,23.422317467577862,21.657355350508386,19.394287899818377,16.45574925096456
21,22.40792832681191,20.876983818642838,18.57715319645812,15.758692554092093
22,20.619430335311332,19.18453773475172,17.069952633106894,14.574532240893152
23,18.65208064481874,17.265303069655957,15.32404845187478,13.031709902423241
